ผลรวม ของ  Number ,ป้ายชื่อคอลัมน์,,,,,,,,,,,,,,ผลรวม ของ  Number ,ป้ายชื่อคอลัมน์,,,,,,,,,ผลรวม ของ  Number ,ป้ายชื่อคอลัมน์,,,
ป้ายชื่อแถว,2019,2023,ผลรวมทั้งหมด,,,,,,,,,,,,ป้ายชื่อแถว,2019,2023,ผลรวมทั้งหมด,,,,,,,ป้ายชื่อแถว,2019,2023,ผลรวมทั้งหมด,Recovery rate
,,,,,,,,,,,,,,,Montserrat,0,0,0,,,,,,,India,159576,119474,279050,134%
,,,,,,,,,,,,,,,Navassa Island,0,,0,,,,,,,Denmark,4856,3640,8496,133%
,,,,,,,,,,,,,,,Netherlands  Antilles,0,0,0,,,,,,,Chad,12,9,21,133%
,,,,,,,,,,,,,,,Nicaragua,9,4,13,,,,,,,Nigeria,192,144,336,133%
,,,,,,,,,,,,,,,Panama,126,30,156,,,,,,,Zimbabwe,88,66,154,133%
,,,,,,,,,,,,,,,Paraguay,64,25,89,,,,,,,Niger,4,3,7,133%
,,,,,,,,,,,,,,,Peru,477,515,992,,,,,,,El Salvador,40,30,70,133%
,,,,,,,,,,,,,,,Puerto Rico,101,0,101,,,,,,,Mali,36,27,63,133%
,,,,,,,,,,,,,,,República Dominicana,122,42,164,,,,,,,Burundi,4,3,7,133%
,,,,,,,,,,,,,,,Saba,0,0,0,,,,,,,Mali,48,36,84,133%
,,,,,,,,,,,,,,,Saint  Barthelemy,0,0,0,,,,,,,Benin,16,12,28,133%
,,,,,,,,,,,,,,,Saint  Eustatius,0,0,0,,,,,,,Ghana,64,48,112,133%
,,,,,,,,,,,,,,,Saint  Lucia,8,7,15,,,,,,,Iran,2896,2173,5069,133%
,,,,,,,,,,,,,,,Saint  Martin,0,0,0,,,,,,,France,56086,42118,98204,133%
,,,,,,,,,,,,,,,Saint  Pierre  and  Miquelon,0,0,0,,,,,,,Mozambique,189,142,331,133%
,,,,,,,,,,,,,,,South Georgia and the South Sandwich Islands,0,0,0,,,,,,,Bosnia0Herzegovina,149,112,261,133%
,,,,,,,,,,,,,,,St.  Kitts  and  Nevis,8,60,68,,,,,,,Myanmar,29730,22405,52135,133%
,,,,,,,,,,,,,,,St.  Maarten,0,0,0,,,,,,,United Kingdom,94972,71640,166612,133%
,,,,,,,,,,,,,,,St.  Vincent  and  The  Grenadines,0,1,1,,,,,,,Canada,14628,11035,25663,133%
,,,,,,,,,,,,,,,Surinam,,11,11,,,,,,,Austria,7297,5507,12804,133%
,,,,,,,,,,,,,,,Suriname,7,,7,,,,,,,Côte d'Ivoire,53,40,93,133%
,,,,,,,,,,,,,,,The United States of America,92922,72139,165061,,,,,,,Lebanon,352,266,618,132%
,,,,,,,,,,,,,,,Trinidad and Tobago,59,36,95,,,,,,,Finland,2899,2191,5090,132%
,,,,,,,,,,,,,,,Turks  and  Caicos,0,0,0,,,,,,,The United States of America,82083,62058,144141,132%
,,,,,,,,,,,,,,,United  States Virgin  Island,0,0,0,,,,,,,Ecuador,219,166,385,132%
,,,,,,,,,,,,,,,Uruguay,403,815,1218,,,,,,,Moldova,149,113,262,132%
,,,,,,,,,,,,,,,Venezuela,73,107,180,,,,,,,Hungary,4123,3129,7252,132%
,,,,,,,,,,,,,,,Asia and the Pacific,2512114,1615515,4127629,,,,,,,Austria,15387,11680,27067,132%
,,,,,,,,,,,,,,,Afganistan,,32,32,,,,,,,Eritrea,25,19,44,132%
,,,,,,,,,,,,,,,Afghanistan,133,,133,,,,,,,Hungary,1091,830,1921,131%
,,,,,,,,,,,,,,,American Samoa,0,2,2,,,,,,,Fiji,155,118,273,131%
,,,,,,,,,,,,,,,Ashmore and  Cartier  Islands,0,,0,,,,,,,Australia,77609,59122,136731,131%
,,,,,,,,,,,,,,,Australia,77609,59122,136731,,,,,,,Fiji,122,93,215,131%
,,,,,,,,,,,,,,,Baker  Island,0,0,0,,,,,,,Germany,49998,38117,88115,131%
,,,,,,,,,,,,,,,Bangladesh,10813,10212,21025,,,,,,,Algeria,139,106,245,131%
,,,,,,,,,,,,,,,Bhutan,1476,1222,2698,,,,,,,Canada,21738,16579,38317,131%
,,,,,,,,,,,,,,,Bouvet  Island,0,0,0,,,,,,,Egypt,1850,1411,3261,131%
,,,,,,,,,,,,,,,British Antarctic Territory,0,0,0,,,,,,,Mali,38,29,67,131%
,,,,,,,,,,,,,,,British Indian Ocean Territory,0,0,0,,,,,,,Lebanon,331,253,584,131%
,,,,,,,,,,,,,,,Brunei,1649,935,2584,,,,,,,Fiji,191,146,337,131%
,,,,,,,,,,,,,,,Cambodia,73304,45687,118991,,,,,,,Colombia,1070,818,1888,131%
,,,,,,,,,,,,,,,Caroline Islands,0,0,0,,,,,,,Nigeria,196,150,346,131%
,,,,,,,,,,,,,,,China,909942,328414,1238356,,,,,,,Germany,36618,28042,64660,131%
,,,,,,,,,,,,,,,Christmas Island,0,0,0,,,,,,,America,111608,85529,197137,130%
,,,,,,,,,,,,,,,Cocos( Kelling)Islands,0,0,0,,,,,,,Iceland,520,399,919,130%
,,,,,,,,,,,,,,,Cook  Islands,4,0,4,,,,,,,America,130818,100424,231242,130%
,,,,,,,,,,,,,,,Coral  Sea  Islands,0,0,0,,,,,,,Canada,18177,13969,32146,130%
,,,,,,,,,,,,,,,Fiji,155,118,273,,,,,,,Norway,3578,2750,6328,130%
,,,,,,,,,,,,,,,French  Polynesia,61,0,61,,,,,,,El Salvador,26,20,46,130%
,,,,,,,,,,,,,,,Guam,59,0,59,,,,,,,Iraq,382,294,676,130%
,,,,,,,,,,,,,,,Heard  and  Mcdonald  Islands,0,0,0,,,,,,,Turkey,8770,6750,15520,130%
,,,,,,,,,,,,,,,Hong Kong (China),92343,67897,160240,,,,,,,Chile,1180,910,2090,130%
,,,,,,,,,,,,,,,Howland Island,0,0,0,,,,,,,Egypt,1727,1332,3059,130%
,,,,,,,,,,,,,,,India,162256,133312,295568,,,,,,,Tunisia,277,214,491,129%
,,,,,,,,,,,,,,,Indonesia,58956,63952,122908,,,,,,,Portugal,3635,2809,6444,129%
,,,,,,,,,,,,,,,Iran,3912,3063,6975,,,,,,,Slovakia,3431,2657,6088,129%
,,,,,,,,,,,,,,,Japan,148317,45258,193575,,,,,,,Slovenia,798,618,1416,129%
,,,,,,,,,,,,,,,Jarvis  Island,0,0,0,,,,,,,Moldova,40,31,71,129%
,,,,,,,,,,,,,,,Johnston Atoll,0,0,0,,,,,,,The United States of America,92922,72139,165061,129%
,,,,,,,,,,,,,,,Kingman  Reef,0,0,0,,,,,,,Iceland,331,257,588,129%
,,,,,,,,,,,,,,,Kiribati,5,2,7,,,,,,,Germany,93847,73045,166892,128%
,,,,,,,,,,,,,,,Korea (Republic of),116884,95830,212714,,,,,,,United Kingdom,72677,56572,129249,128%
,,,,,,,,,,,,,,,Laos,145758,67930,213688,,,,,,,Nov,3386366,2637077,6023443,128%
,,,,,,,,,,,,,,,Macao (China),7143,3467,10610,,,,,,,Kuwait,5163,4024,9187,128%
,,,,,,,,,,,,,,,Malaysia,353577,401394,754971,,,,,,,Italy,10327,8055,18382,128%
,,,,,,,,,,,,,,,Maldives,2049,1105,3154,,,,,,,Honduras,41,32,73,128%
,,,,,,,,,,,,,,,Marshall Islands,2,1,3,,,,,,,Philippines,42117,32915,75032,128%
,,,,,,,,,,,,,,,Micronesia FSM,0,1,1,,,,,,,Sweden,22447,17550,39997,128%
,,,,,,,,,,,,,,,Midway  Islands,0,0,0,,,,,,,Luxembourg,243,190,433,128%
,,,,,,,,,,,,,,,Mongolia,627,893,1520,,,,,,,France,54014,42237,96251,128%
,,,,,,,,,,,,,,,Myanmar,39158,33737,72895,,,,,,,Iran,3912,3063,6975,128%
,,,,,,,,,,,,,,,N. Mariana Islands,0,0,0,,,,,,,Asia and the Pacific,2832492,2218326,5050818,128%
,,,,,,,,,,,,,,,Nauru,1,2,3,,,,,,,Moldova,65,51,116,127%
,,,,,,,,,,,,,,,Nepal,4875,2387,7262,,,,,,,Tanzania,144,113,257,127%
,,,,,,,,,,,,,,,New Caledonia,173,0,173,,,,,,,Tajikistan,79,62,141,127%
,,,,,,,,,,,,,,,New Zealand,8689,7476,16165,,,,,,,Colombia,1250,982,2232,127%
,,,,,,,,,,,,,,,Niue,0,0,0,,,,,,,United Kingdom,61866,48637,110503,127%
,,,,,,,,,,,,,,,Norfalk  Island,1,0,1,,,,,,,Costa rica,103,81,184,127%
,,,,,,,,,,,,,,,North Korea,0,0,0,,,,,,,Brazil,5600,4405,10005,127%
,,,,,,,,,,,,,,,Pakistan,5362,2852,8214,,,,,,,Kenya,502,395,897,127%
,,,,,,,,,,,,,,,Palau,1,1,2,,,,,,,India,166062,130667,296729,127%
,,,,,,,,,,,,,,,Palmyra Atoll,0,0,0,,,,,,,Hungary,1750,1380,3130,127%
,,,,,,,,,,,,,,,Papua New Guinea,92,55,147,,,,,,,Uganda,180,142,322,127%
,,,,,,,,,,,,,,,Philippines,42117,32915,75032,,,,,,,Denmark,17137,13522,30659,127%
,,,,,,,,,,,,,,,Pitcairn Islands,0,0,0,,,,,,,Cyprus,214,169,383,127%
,,,,,,,,,,,,,,,Ross  Dependency,0,0,0,,,,,,,Philippines,45342,35865,81207,126%
,,,,,,,,,,,,,,,Samoa,8,0,8,,,,,,,Ukraine,2457,1945,4402,126%
,,,,,,,,,,,,,,,Singapore,75569,62845,138414,,,,,,,Serbia,1672,1324,2996,126%
,,,,,,,,,,,,,,,Solomon  Islands,12,0,12,,,,,,,The United States of America,106045,84101,190146,126%
,,,,,,,,,,,,,,,Sri Lanka,8517,2211,10728,,,,,,,Cyprus,174,138,312,126%
,,,,,,,,,,,,,,,Taiwan,63559,56627,120186,,,,,,,Europe,889904,705869,1595773,126%
,,,,,,,,,,,,,,,Timor0Leste,108,38,146,,,,,,,Taiwan,62355,49492,111847,126%
,,,,,,,,,,,,,,,Tokelau,0,0,0,,,,,,,Bhutan,1857,1474,3331,126%
,,,,,,,,,,,,,,,Tonga,19,10,29,,,,,,,Singapore,96623,76697,173320,126%
,,,,,,,,,,,,,,,Trust Pacific,0,0,0,,,,,,,Azerbaijan,136,108,244,126%
,,,,,,,,,,,,,,,Tuvalu,0,0,0,,,,,,,Serbia,238,189,427,126%
,,,,,,,,,,,,,,,United States Minor Outlying Island,0,0,0,,,,,,,Liechtenstein,68,54,122,126%
,,,,,,,,,,,,,,,Vanautu,,164,164,,,,,,,Middle East,32975,26190,59165,126%
,,,,,,,,,,,,,,,Vanuatu,48,,48,,,,,,,America,118525,94143,212668,126%
,,,,,,,,,,,,,,,Vietnam,96770,84346,181116,,,,,,,The United States of America,70438,55960,126398,126%
,,,,,,,,,,,,,,,Wake  Island,0,0,0,,,,,,,Iceland,190,151,341,126%
,,,,,,,,,,,,,,,Wallis  and  Futuna  Islands,1,0,1,,,,,,,Myanmar,34539,27478,62017,126%
,,,,,,,,,,,,,,,Europe,524321,430530,954851,,,,,,,Brazil,6337,5048,11385,126%
,,,,,,,,,,,,,,,ALBANIA,71,89,160,,,,,,,Portugal,4213,3358,7571,125%
,,,,,,,,,,,,,,,ANDORRA,65,26,91,,,,,,,Australia,71809,57315,129124,125%
,,,,,,,,,,,,,,,Armenia,79,69,148,,,,,,,Germany,102037,81511,183548,125%
,,,,,,,,,,,,,,,Austria,7965,5417,13382,,,,,,,The United States of America,94655,75623,170278,125%
,,,,,,,,,,,,,,,Azerbaijan,124,49,173,,,,,,,Venezuela,70,56,126,125%
,,,,,,,,,,,,,,,Belarus,529,608,1137,,,,,,,Burundi,5,4,9,125%
,,,,,,,,,,,,,,,Belgium,11182,5614,16796,,,,,,,Uruguay,380,304,684,125%
,,,,,,,,,,,,,,,Bosnia0Herzegovina,95,82,177,,,,,,,Cameroon,55,44,99,125%
,,,,,,,,,,,,,,,Bulgaria,867,988,1855,,,,,,,Barbados,5,4,9,125%
,,,,,,,,,,,,,,,Channel Islands,14,,14,,,,,,,Bahamas,10,8,18,125%
,,,,,,,,,,,,,,,Croatia,411,336,747,,,,,,,San Marino,5,4,9,125%
,,,,,,,,,,,,,,,Cyprus,265,189,454,,,,,,,Chile,1185,948,2133,125%
,,,,,,,,,,,,,,,Czech Republic,2813,2710,5523,,,,,,,Korea (Republic of),143654,115038,258692,125%
,,,,,,,,,,,,,,,Denmark,9720,5902,15622,,,,,,,France,28416,22773,51189,125%
,,,,,,,,,,,,,,,Estonia,667,499,1166,,,,,,,Switzerland,15421,12363,27784,125%
,,,,,,,,,,,,,,,Faeroe Islands ,28,0,28,,,,,,,Bulgaria,769,617,1386,125%
,,,,,,,,,,,,,,,Finland,4343,2694,7037,,,,,,,Lithuania,2984,2397,5381,124%
,,,,,,,,,,,,,,,France,61924,40724,102648,,,,,,,India,159355,128070,287425,124%
,,,,,,,,,,,,,,,France  Mtr.,0,,0,,,,,,,Sweden,10627,8543,19170,124%
,,,,,,,,,,,,,,,French Southern and Antarctic Territories,0,0,0,,,,,,,Argentina,2902,2335,5237,124%
,,,,,,,,,,,,,,,Georgia,53,156,209,,,,,,,America,149683,120596,270279,124%
,,,,,,,,,,,,,,,Germany,73791,55029,128820,,,,,,,Czech Republic,8713,7034,15747,124%
,,,,,,,,,,,,,,,Gibraltar,30,0,30,,,,,,,Moldova,52,42,94,124%
,,,,,,,,,,,,,,,Greece,902,1177,2079,,,,,,,Belgium,10342,8361,18703,124%
,,,,,,,,,,,,,,,Guernsey,64,0,64,,,,,,,Brunei,1217,984,2201,124%
,,,,,,,,,,,,,,,Hungary,1959,1616,3575,,,,,,,Costa rica,162,131,293,124%
,,,,,,,,,,,,,,,Iceland,477,210,687,,,,,,,The United States of America,84767,68563,153330,124%
,,,,,,,,,,,,,,,Ireland,3699,4535,8234,,,,,,,Liberia,21,17,38,124%
,,,,,,,,,,,,,,,Isle of Man,17,0,17,,,,,,,Korea (Republic of),209016,169462,378478,123%
,,,,,,,,,,,,,,,Israel,20514,17820,38334,,,,,,,Qatar,2250,1825,4075,123%
,,,,,,,,,,,,,,,Italy,15152,10329,25481,,,,,,,Hong Kong (China),123803,100437,224240,123%
,,,,,,,,,,,,,,,Jersey,104,0,104,,,,,,,Belgium,12097,9814,21911,123%
,,,,,,,,,,,,,,,Kazakhstan,1910,9230,11140,,,,,,,Kyrgyzstan,117,95,212,123%
,,,,,,,,,,,,,,,Kosovo,0,68,68,,,,,,,Singapore,74843,60792,135635,123%
,,,,,,,,,,,,,,,Kyrgyzstan,141,231,372,,,,,,,Spain,10466,8525,18991,123%
,,,,,,,,,,,,,,,Latvia,401,483,884,,,,,,,Belarus,324,264,588,123%
,,,,,,,,,,,,,,,Liechtenstein,62,85,147,,,,,,,United Kingdom,94169,76815,170984,123%
,,,,,,,,,,,,,,,Lithuania,923,1050,1973,,,,,,,Turkey,5120,4179,9299,123%
,,,,,,,,,,,,,,,Luxembourg,1190,484,1674,,,,,,,Middle East,37415,30556,67971,122%
,,,,,,,,,,,,,,,Madiera Islands,0,0,0,,,,,,,Croatia,411,336,747,122%
,,,,,,,,,,,,,,,Malta,286,160,446,,,,,,,Morocco,455,372,827,122%
,,,,,,,,,,,,,,,Moldova,55,61,116,,,,,,,Switzerland,8978,7345,16323,122%
,,,,,,,,,,,,,,,Monaco,87,17,104,,,,,,,Korea (Republic of),178917,146387,325304,122%
,,,,,,,,,,,,,,,Montenegro,25,18,43,,,,,,,Malta,618,506,1124,122%
,,,,,,,,,,,,,,,Netherlands,16299,16538,32837,,,,,,,Germany,97985,80284,178269,122%
,,,,,,,,,,,,,,,North Macedonia,110,55,165,,,,,,,Bangladesh,13228,10843,24071,122%
,,,,,,,,,,,,,,,Norway,8354,4059,12413,,,,,,,Korea (Republic of),116884,95830,212714,122%
,,,,,,,,,,,,,,,Poland,6894,5799,12693,,,,,,,ANDORRA,50,41,91,122%
,,,,,,,,,,,,,,,Portugal,5073,3775,8848,,,,,,,United Kingdom,53330,43735,97065,122%
,,,,,,,,,,,,,,,Romania,1899,2256,4155,,,,,,,Italy,8643,7089,15732,122%
,,,,,,,,,,,,,,,Russian Federation,109008,115706,224714,,,,,,,Zimbabwe,128,105,233,122%
,,,,,,,,,,,,,,,San Marino,7,10,17,,,,,,,Italy,15177,12452,27629,122%
,,,,,,,,,,,,,,,Serbia,545,452,997,,,,,,,Europe,524321,430530,954851,122%
,,,,,,,,,,,,,,,Slovakia,1676,1624,3300,,,,,,,United Kingdom,60198,49438,109636,122%
,,,,,,,,,,,,,,,Slovenia,716,764,1480,,,,,,,India,162256,133312,295568,122%
,,,,,,,,,,,,,,,Spain,11102,7620,18722,,,,,,,Estonia,286,235,521,122%
,,,,,,,,,,,,,,,Sweden,12328,8321,20649,,,,,,,United Kingdom,72816,59872,132688,122%
,,,,,,,,,,,,,,,Switzerland,21789,14676,36465,,,,,,,Argentina,1675,1378,3053,122%
,,,,,,,,,,,,,,,Tajikistan,62,23,85,,,,,,,Qatar,1647,1355,3002,122%
,,,,,,,,,,,,,,,Turkey,4983,4428,9411,,,,,,,Latvia,1434,1180,2614,122%
,,,,,,,,,,,,,,,Turkmenistan,99,22,121,,,,,,,India,121244,99808,221052,121%
,,,,,,,,,,,,,,,Ukraine,4434,2411,6845,,,,,,,Montenegro,17,14,31,121%
,,,,,,,,,,,,,,,United Kingdom,94972,71640,166612,,,,,,,Gambia,17,14,31,121%
,,,,,,,,,,,,,,,Utopia,0,0,0,,,,,,,Europe,830824,684551,1515375,121%
,,,,,,,,,,,,,,,Uzbekistan,967,1596,2563,,,,,,,America,90479,74573,165052,121%
,,,,,,,,,,,,,,,Vatican City State,0,0,0,,,,,,,Belgium,6486,5346,11832,121%
,,,,,,,,,,,,,,,Yugoslavia,0,,0,,,,,,,Kuwait,5365,4425,9790,121%
,,,,,,,,,,,,,,,Middle East,32975,26190,59165,,,,,,,India,189733,156500,346233,121%
,,,,,,,,,,,,,,,Bahrain,2061,1160,3221,,,,,,,Hungary,1959,1616,3575,121%
,,,,,,,,,,,,,,,Egypt,1578,826,2404,,,,,,,Czech Republic,2350,1940,4290,121%
,,,,,,,,,,,,,,,Iraq,303,222,525,,,,,,,U.A.E.,5127,4235,9362,121%
,,,,,,,,,,,,,,,Jordan,885,653,1538,,,,,,,New Zealand,9360,7733,17093,121%
,,,,,,,,,,,,,,,Kuwait,4988,3341,8329,,,,,,,Dec,3947337,3261257,7208594,121%
,,,,,,,,,,,,,,,Lebanon,611,294,905,,,,,,,Maldives,2107,1743,3850,121%
,,,,,,,,,,,,,,,Libia,,12,12,,,,,,,Qatar,2905,2404,5309,121%
,,,,,,,,,,,,,,,Libya,27,,27,,,,,,,France,49033,40577,89610,121%
,,,,,,,,,,,,,,,Oman,6419,2531,8950,,,,,,,Liberia,29,24,53,121%
,,,,,,,,,,,,,,,Palestine,92,140,232,,,,,,,Bhutan,1476,1222,2698,121%
,,,,,,,,,,,,,,,Qatar,3293,3076,6369,,,,,,,Slovenia,1814,1502,3316,121%
,,,,,,,,,,,,,,,Saudi Arabia,1807,8472,10279,,,,,,,Bhutan,2891,2394,5285,121%
,,,,,,,,,,,,,,,Syria,156,217,373,,,,,,,Indonesia,54816,45410,100226,121%
,,,,,,,,,,,,,,,U.A.E.,10314,4869,15183,,,,,,,Colombia,596,494,1090,121%
,,,,,,,,,,,,,,,Yemen,441,377,818,,,,,,,Switzerland,21012,17419,38431,121%
,,,,,,,,,,,,,,,other,1417,,1417,,,,,,,The United States of America,63798,52895,116693,121%
,,,,,,,,,,,,,,,stateless person,1417,,1417,,,,,,,Serbia,545,452,997,121%
,,,,,,,,,,,,,,,Unspecified,0,,0,,,,,,,Morocco,619,514,1133,120%
,,,,,,,,,,,,,,,May,2736598,2013852,4750450,,,,,,,Luxembourg,655,544,1199,120%
,,,,,,,,,,,,,,,Africa,12889,8778,21667,,,,,,,Singapore,75569,62845,138414,120%
,,,,,,,,,,,,,,,Algeria,58,120,178,,,,,,,America,117298,97572,214870,120%
,,,,,,,,,,,,,,,Angola,8,8,16,,,,,,,Croatia,412,343,755,120%
,,,,,,,,,,,,,,,Benin,11,7,18,,,,,,,North Macedonia,48,40,88,120%
,,,,,,,,,,,,,,,Bophuthatswana,0,0,0,,,,,,,Honduras,30,25,55,120%
,,,,,,,,,,,,,,,Botswana,58,8,66,,,,,,,Burkina  Faso,24,20,44,120%
,,,,,,,,,,,,,,,Burkina  Faso,15,13,28,,,,,,,Saint  Lucia,6,5,11,120%
,,,,,,,,,,,,,,,Burundi,13,0,13,,,,,,,Nicaragua,24,20,44,120%
,,,,,,,,,,,,,,,Cameroon,74,49,123,,,,,,,Switzerland,16989,14164,31153,120%
,,,,,,,,,,,,,,,Canary  Islands,0,0,0,,,,,,,Switzerland,28366,23664,52030,120%
,,,,,,,,,,,,,,,Cape Verde Rep.,6,4,10,,,,,,,Austria,10596,8841,19437,120%
,,,,,,,,,,,,,,,Central African Republic,1,0,1,,,,,,,Bulgaria,2295,1915,4210,120%
,,,,,,,,,,,,,,,Ceuta,0,0,0,,,,,,,Pakistan,6658,5560,12218,120%
,,,,,,,,,,,,,,,Chad,1,14,15,,,,,,,Ethiopia,1608,1344,2952,120%
,,,,,,,,,,,,,,,ciskei,0,,0,,,,,,,Belarus,811,678,1489,120%
,,,,,,,,,,,,,,,Comoros,5,106,111,,,,,,,South  Africa,4934,4125,9059,120%
,,,,,,,,,,,,,,,Côte d'Ivoire,32,35,67,,,,,,,República Dominicana,49,41,90,120%
,,,,,,,,,,,,,,,Djibouti,3,11,14,,,,,,,Azerbaijan,80,67,147,119%
,,,,,,,,,,,,,,,Equatorial  Guinea,0,0,0,,,,,,,Yemen,431,361,792,119%
,,,,,,,,,,,,,,,Eritrea,14,44,58,,,,,,,United Kingdom,72038,60403,132441,119%
,,,,,,,,,,,,,,,Eswatini,17,3,20,,,,,,,Serbia,379,318,697,119%
,,,,,,,,,,,,,,,Ethiopia,2791,1028,3819,,,,,,,Serbia,920,772,1692,119%
,,,,,,,,,,,,,,,Gabon,0,2,2,,,,,,,Papua New Guinea,81,68,149,119%
,,,,,,,,,,,,,,,Gambia,7,5,12,,,,,,,ALBANIA,81,68,149,119%
,,,,,,,,,,,,,,,Ghana,79,52,131,,,,,,,Korea (Republic of),152664,128215,280879,119%
,,,,,,,,,,,,,,,Guinea,74,19,93,,,,,,,Slovakia,3824,3212,7036,119%
,,,,,,,,,,,,,,,Guinea0Bissau,4,1,5,,,,,,,Iraq,344,289,633,119%
,,,,,,,,,,,,,,,Kenya,491,362,853,,,,,,,Mauritius,818,688,1506,119%
,,,,,,,,,,,,,,,Lesotho,8,1,9,,,,,,,Poland,6894,5799,12693,119%
,,,,,,,,,,,,,,,Liberia,22,15,37,,,,,,,Pakistan,6252,5265,11517,119%
,,,,,,,,,,,,,,,Madagascar,79,21,100,,,,,,,Canada,27045,22786,49831,119%
,,,,,,,,,,,,,,,Malawi,17,4,21,,,,,,,Kuwait,5441,4586,10027,119%
,,,,,,,,,,,,,,,Mali,36,27,63,,,,,,,Bosnia0Herzegovina,51,43,94,119%
,,,,,,,,,,,,,,,Mauritania,2,6,8,,,,,,,United Kingdom,88617,74775,163392,119%
,,,,,,,,,,,,,,,Mauritius,422,654,1076,,,,,,,Australia,60472,51069,111541,118%
,,,,,,,,,,,,,,,Mauritun,0,0,0,,,,,,,Colombia,887,750,1637,118%
,,,,,,,,,,,,,,,Mayotte,13,0,13,,,,,,,New Zealand,10569,8938,19507,118%
,,,,,,,,,,,,,,,Melilla,1,0,1,,,,,,,Lebanon,360,305,665,118%
,,,,,,,,,,,,,,,Morocco,161,700,861,,,,,,,Australia,53201,45107,98308,118%
,,,,,,,,,,,,,,,Mozambique,60,25,85,,,,,,,Austria,14939,12668,27607,118%
,,,,,,,,,,,,,,,Namibia,100,48,148,,,,,,,America,86988,73781,160769,118%
,,,,,,,,,,,,,,,Niger,3,2,5,,,,,,,Czech Republic,1743,1479,3222,118%
,,,,,,,,,,,,,,,Nigeria,164,148,312,,,,,,,Maldives,1653,1403,3056,118%
,,,,,,,,,,,,,,,République Démocratique du Congo,0,14,14,,,,,,,Iran,3106,2637,5743,118%
,,,,,,,,,,,,,,,République du Congo,35,3,38,,,,,,,North Macedonia,53,45,98,118%
,,,,,,,,,,,,,,,Reunion,859,0,859,,,,,,,Hungary,916,778,1694,118%
,,,,,,,,,,,,,,,Rwanda,41,15,56,,,,,,,Hong Kong (China),110167,93907,204074,117%
,,,,,,,,,,,,,,,Saint  Helena,1,0,1,,,,,,,America,113469,96758,210227,117%
,,,,,,,,,,,,,,,Sao Tome/Principe,1,0,1,,,,,,,Canada,15272,13023,28295,117%
,,,,,,,,,,,,,,,Senegal,60,65,125,,,,,,,Latvia,755,644,1399,117%
,,,,,,,,,,,,,,,Seychelles,192,54,246,,,,,,,Fiji,253,216,469,117%
,,,,,,,,,,,,,,,Sierra Leone,5,8,13,,,,,,,Moldova,48,41,89,117%
,,,,,,,,,,,,,,,Somalia,11,45,56,,,,,,,Vietnam,81950,70017,151967,117%
,,,,,,,,,,,,,,,South  Africa,6068,4354,10422,,,,,,,Canada,19011,16248,35259,117%
,,,,,,,,,,,,,,,South Sudan,0,2,2,,,,,,,Yemen,441,377,818,117%
,,,,,,,,,,,,,,,Sudan,197,179,376,,,,,,,Zimbabwe,69,59,128,117%
,,,,,,,,,,,,,,,Tanzania,179,101,280,,,,,,,Poland,4082,3498,7580,117%
,,,,,,,,,,,,,,,Togo,15,8,23,,,,,,,India,172949,148212,321161,117%
,,,,,,,,,,,,,,,Transkei,1,0,1,,,,,,,Slovakia,966,828,1794,117%
,,,,,,,,,,,,,,,Tunisia,76,195,271,,,,,,,Rwanda,7,6,13,117%
,,,,,,,,,,,,,,,Uganda,178,119,297,,,,,,,Cuba,21,18,39,117%
,,,,,,,,,,,,,,,Western  Sahara,0,0,0,,,,,,,Australia,66581,57073,123654,117%
,,,,,,,,,,,,,,,Zambia,51,8,59,,,,,,,Mexico,2099,1801,3900,117%
,,,,,,,,,,,,,,,Zimbabwe,69,66,135,,,,,,,Europe,716534,614862,1331396,117%
,,,,,,,,,,,,,,,America,111608,85529,197137,,,,,,,Slovenia,444,381,825,117%
,,,,,,,,,,,,,,,Anguilla,0,0,0,,,,,,,The United States of America,88356,75914,164270,116%
,,,,,,,,,,,,,,,Antigua  and  Barbuda,22,11,33,,,,,,,Vietnam,81108,69730,150838,116%
,,,,,,,,,,,,,,,Argentina,1877,1121,2998,,,,,,,Croatia,950,817,1767,116%
,,,,,,,,,,,,,,,Aruba,0,0,0,,,,,,,New Zealand,8689,7476,16165,116%
,,,,,,,,,,,,,,,Bahamas,14,4,18,,,,,,,Lithuania,3089,2658,5747,116%
,,,,,,,,,,,,,,,Barbados,5,4,9,,,,,,,Brazil,8590,7393,15983,116%
,,,,,,,,,,,,,,,Belize,1,7,8,,,,,,,Germany,51420,44257,95677,116%
,,,,,,,,,,,,,,,Bermuda,9,0,9,,,,,,,Moldova,101,87,188,116%
,,,,,,,,,,,,,,,Bolivia,49,67,116,,,,,,,Myanmar,39158,33737,72895,116%
,,,,,,,,,,,,,,,Bonaire,0,0,0,,,,,,,Vietnam,127765,110241,238006,116%
,,,,,,,,,,,,,,,Brazil,3301,2966,6267,,,,,,,Bosnia0Herzegovina,95,82,177,116%
,,,,,,,,,,,,,,,British  Virgin  Islands,2,0,2,,,,,,,Ukraine,2470,2133,4603,116%
,,,,,,,,,,,,,,,British Colony,0,0,0,,,,,,,Denmark,4677,4041,8718,116%
,,,,,,,,,,,,,,,Canada,18177,13969,32146,,,,,,,Netherlands,41066,35508,76574,116%
,,,,,,,,,,,,,,,Cayman  Islands,6,0,6,,,,,,,Italy,10673,9229,19902,116%
,,,,,,,,,,,,,,,Chile,1180,910,2090,,,,,,,Denmark,5572,4821,10393,116%
